surah_number,ayah_number,word_number,word_number_all,uthmani,nastaleeq,indopak,dk_indopak,qpc_v1,dk_v2,dk_v1,qpc_hafs,is_ayah_marker
7,155,35,22769,'وَلِيُّنَا','وَلِيُّنَا','وَلِیُّنَا','وَلِيُّنَا','ﰁ','وَلِيُّنَا','وَلِيُّنَا','وَلِيُّنَا',0
7,155,36,22770,'فَٱغْفِرْ','فَاغْفِرْ','فَاغْفِرْ','فَاغْفِرْ','ﰂ','فَٱغْفِرْ','فَٱغْفِرْ','فَٱغۡفِرۡ',0
7,155,37,22771,'لَنَا','لَنَا','لَنَا','لَنَا','ﰃ','لَنَا','لَنَا','لَنَا',0
7,155,38,22772,'وَٱرْحَمْنَا ۖ','وَارْحَمْنَا','وَارْحَمْنَا','وَارْحَمْنَا','ﰄﰅ','وَٱرْحَمْنَاۖ','وَٱرْحَمْنَاۖ','وَٱرۡحَمۡنَاۖ',0
7,155,39,22773,'وَأَنتَ','وَاَنْتَ','وَاَنْتَ','وَاَنْتَ','ﰆ','وَأَنتَ','وَأَنتَ','وَأَنتَ',0
7,155,40,22774,'خَيْرُ','خَيْرُ','خَیْرُ','خَيْرُ','ﰇ','خَيْرُ','خَيْرُ','خَيۡرُ',0
7,155,41,22775,'ٱلْغَـٰفِرِينَ','الْغٰفِرِيْنَ','الْغٰفِرِیْنَ','الْغٰفِرِيْنَ','ﰈ','ٱلْغَٰفِرِينَ','ٱلْغَٰفِرِينَ','ٱلۡغَٰفِرِينَ',0
7,155,42,22776,'١٥٥','١٥٥','۟','۝١٥٥','ﰉ','۝١٥٥','۝١٥٥','١٥٥',1
7,156,1,22777,'۞ وَٱكْتُبْ','وَاكْتُبْ','وَاكْتُبْ','وَاكْتُبْ','ﭑﭒ','۞وَٱكْتُبْ','۞وَٱكْتُبْ','۞ وَٱكۡتُبۡ',0
7,156,2,22778,'لَنَا','لَنَا','لَنَا','لَنَا','ﭓ','لَنَا','لَنَا','لَنَا',0
7,156,3,22779,'فِى','فِيْ','فِیْ','فِيْ','ﭔ','فِي','فِي','فِي',0
7,156,4,22780,'هَـٰذِهِ','هٰذِهِ','هٰذِهِ','هٰذِهِ','ﭕ','هَٰذِهِ','هَٰذِهِ','هَٰذِهِ',0
7,156,5,22781,'ٱلدُّنْيَا','الدُّنْيَا','الدُّنْیَا','الدُّنْيَا','ﭖ','ٱلدُّنْيَا','ٱلدُّنْيَا','ٱلدُّنۡيَا',0
7,156,6,22782,'حَسَنَةًۭ','حَسَنَةً','حَسَنَةً','حَسَنَةً','ﭗ','حَسَنَةࣰ','حَسَنَةࣰ','حَسَنَةٗ',0
